number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,gps_valid,farmer_age,registration_duration_minutes,registration_latitude,registration_longitude
262,78d1a375-2d10-4d12-82af-42d34c34befd,community_02,Grace,Abdullahi,male,2003-12-04,33419533723.0,8065200750,https://www.commcarehq.org/photos/farmer_262.jpg,6,crop_farming,5,leased,1,rain-fed,---,groundnuts maize,2.3,2.1,---,---,---,---,10.4225801 7.3252699 0.0 20.0,yes,892c1f00-f4c8-4fb7-86a9-593ef2d15ceb,2026-04-11 00:04:00,2026-04-11,tester_02,2026-04-11 00:04:19,https://www.commcarehq.org/form/78d1a375-2d10-4d12-82af-42d34c34befd,tester_02,True,22,4.0,10.4225801,7.3252699
263,2c7f742f-59ab-4670-8afb-1d9d4e2bcbcf,community_04,Binta,Philip,male,1987-05-20,27224519780.0,8013641193,https://www.commcarehq.org/photos/farmer_263.jpg,7,livestock_farming,9,leased,5,rain-fed,---,rice maize,---,2.1,1.1,goats rabbits,16,22,10.544758 7.5012139 0.0 20.0,yes,27413b0e-0407-499d-926e-d3fff1f139a8,2026-04-16 00:07:00,2026-04-16,tester_04,2026-04-16 00:07:19,https://www.commcarehq.org/form/2c7f742f-59ab-4670-8afb-1d9d4e2bcbcf,tester_04,True,39,7.0,10.544758,7.5012139
264,a2be760d-3a13-43c4-b65f-8902732b0ff4,community_05,Esther,Yakubu,male,1979-02-20,77563548926.0,8022205867,https://www.commcarehq.org/photos/farmer_264.jpg,12,crop_farming,1,family_land,2,rain-fed,---,maize,---,1.8,---,---,---,---,10.5433835 7.5041952 0.0 20.0,yes,6b5ebaa0-1d71-42d7-a5a9-61d2e0be0da1,2026-04-27 00:07:00,2026-04-27,tester_05,2026-04-27 00:07:09,https://www.commcarehq.org/form/a2be760d-3a13-43c4-b65f-8902732b0ff4,tester_05,True,47,7.0,10.5433835,7.5041952
265,90f04f30-dc22-4886-8b54-96fbfd2be70c,community_06,Mary,Philip,male,1953-11-30,,8057121386,https://www.commcarehq.org/photos/farmer_265.jpg,4,crop_farming,2,leased,1,rain-fed,---,maize rice groundnuts,0.8,3.8,1.7,goats,14,---,10.4031707 7.2212628 0.0 20.0,yes,20c1fbe3-07f3-4503-8189-f8a224e4226a,2026-01-26 00:02:00,2026-01-26,tester_06,2026-01-26 00:02:17,https://www.commcarehq.org/form/90f04f30-dc22-4886-8b54-96fbfd2be70c,tester_06,True,72,2.0,10.4031707,7.2212628
266,065323bf-9c78-467b-8600-801fda28291a,community_05,David,Daniel,male,1987-02-20,80839542298.0,8046692002,https://www.commcarehq.org/photos/farmer_266.jpg,3,livestock_farming,13,owned,1,river_stream,---,maize rice groundnuts,0.9,1.7,2.7,---,---,---,10.2012427 7.2740315 0.0 20.0,yes,9fdfb496-45d4-4e63-92c3-aef1b2355882,2026-06-09 00:05:00,2026-06-09,tester_05,2026-06-09 00:05:14,https://www.commcarehq.org/form/065323bf-9c78-467b-8600-801fda28291a,tester_05,True,39,5.0,10.2012427,7.2740315
267,f3b2d9dd-2222-4ecd-8d00-73d9cd25ece5,community_06,Yusuf,Garba,male,1984-04-07,29135008396.0,8096409817,https://www.commcarehq.org/photos/farmer_267.jpg,3,mixed_farming,16,leased,4,rain-fed,---,groundnuts rice,2.4,---,3.2,goats,25,---,10.3962647 7.3403124 0.0 20.0,yes,d51802d4-f7dd-4a54-b1cb-de8afc690732,2026-06-19 00:05:00,2026-06-19,tester_06,2026-06-19 00:05:13,https://www.commcarehq.org/form/f3b2d9dd-2222-4ecd-8d00-73d9cd25ece5,tester_06,True,42,5.0,10.3962647,7.3403124
268,51a2c241-2ebd-4629-8109-d14437a4a8b2,community_03,Amina,Haruna,male,1967-08-11,,8095167098,https://www.commcarehq.org/photos/farmer_268.jpg,8,crop_farming,37,family_land,2,borehole,---,maize,---,4.3,---,---,---,---,10.4715206 7.5596886 0.0 20.0,yes,e1162f79-39fc-4efc-94fc-7a39a06cff16,2026-05-15 00:03:00,2026-05-15,tester_03,2026-05-15 00:03:13,https://www.commcarehq.org/form/51a2c241-2ebd-4629-8109-d14437a4a8b2,tester_03,True,59,3.0,10.4715206,7.5596886
269,9e20737f-85f2-41a4-9532-d5325e4ee0e0,community_07,Daniel,Michael,male,1982-02-04,81208482577.0,8078175731,https://www.commcarehq.org/photos/farmer_269.jpg,3,crop_farming,5,owned,2,borehole,---,maize rice,---,0.9,1.5,---,---,---,10.5301882 7.2493743 0.0 20.0,yes,b6dbd049-d723-4677-b75c-2d2d5dfcabce,2026-01-02 00:05:00,2026-01-02,tester_07,2026-01-02 00:05:16,https://www.commcarehq.org/form/9e20737f-85f2-41a4-9532-d5325e4ee0e0,tester_07,True,44,5.0,10.5301882,7.2493743
270,23ffbd6e-6555-4c89-86b3-e11ca0b090c0,community_05,Amina,Musa,male,1991-10-26,,8071029150,https://www.commcarehq.org/photos/farmer_270.jpg,2,mixed_farming,13,owned,1,irrigation_scheme,---,maize groundnuts rice,2.2,2.4,2.5,rabbits,---,10,10.3665249 7.2798093 0.0 20.0,yes,bc6a4c5d-ecc4-495d-a3ab-93c40d0f8065,2026-03-18 00:06:00,2026-03-18,tester_05,2026-03-18 00:06:19,https://www.commcarehq.org/form/23ffbd6e-6555-4c89-86b3-e11ca0b090c0,tester_05,True,34,6.0,10.3665249,7.2798093
271,88670b43-2805-45c7-b2c7-e3993cbc462c,community_04,Joseph,Abdullahi,female,1993-10-13,80064920161.0,8097444405,https://www.commcarehq.org/photos/farmer_271.jpg,1,crop_farming,4,owned,6,irrigation_scheme,---,groundnuts maize,0.8,4.5,---,---,---,---,10.4072033 7.5356792 0.0 20.0,yes,db527553-711e-478a-8f8c-f16c55d97a4f,2026-03-11 00:08:00,2026-03-11,tester_04,2026-03-11 00:08:08,https://www.commcarehq.org/form/88670b43-2805-45c7-b2c7-e3993cbc462c,tester_04,True,32,8.0,10.4072033,7.5356792
272,68a22710-0497-4985-99b7-1ce837ccb73d,community_02,Mary,Haruna,male,1981-06-11,17374250039.0,8075591861,https://www.commcarehq.org/photos/farmer_272.jpg,8,crop_farming,16,family_land,4,rain-fed,---,rice,---,---,0.8,goats rabbits,17,34,10.3775263 7.2222613 0.0 20.0,yes,47136812-e48f-4252-a1cd-e6434b904324,2026-04-14 00:05:00,2026-04-14,tester_02,2026-04-14 00:05:10,https://www.commcarehq.org/form/68a22710-0497-4985-99b7-1ce837ccb73d,tester_02,True,45,5.0,10.3775263,7.2222613
273,a40f24e1-2f7e-4e56-9ad7-9ad069a172c0,community_06,Joy,Tanko,male,1968-08-13,29036814176.0,8061861754,https://www.commcarehq.org/photos/farmer_273.jpg,5,mixed_farming,24,family_land,2,borehole,---,maize rice,---,1.4,1.5,goats rabbits,14,21,10.2136334 7.4601689 0.0 20.0,yes,f9e730d9-f525-468e-b64a-c68537911a50,2026-04-24 00:02:00,2026-04-24,tester_06,2026-04-24 00:02:16,https://www.commcarehq.org/form/a40f24e1-2f7e-4e56-9ad7-9ad069a172c0,tester_06,True,57,2.0,10.2136334,7.4601689
274,f37625ae-c593-4005-9772-24842e022016,community_07,Samuel,Michael,female,1994-01-07,82417538760.0,8029551165,https://www.commcarehq.org/photos/farmer_274.jpg,6,crop_farming,13,family_land,6,rain-fed,---,rice groundnuts,1.9,---,3.7,---,---,---,10.2517688 7.3296306 0.0 20.0,yes,745cf354-9ccb-424e-9643-8f96d11a30dc,2026-03-31 00:06:00,2026-03-31,tester_07,2026-03-31 00:06:17,https://www.commcarehq.org/form/f37625ae-c593-4005-9772-24842e022016,tester_07,True,32,6.0,10.2517688,7.3296306
275,7d716f26-aa9e-47c8-9780-9553c1b2e512,community_01,Amina,Tanko,female,1994-10-27,,8047987281,https://www.commcarehq.org/photos/farmer_275.jpg,6,crop_farming,10,owned,1,rain-fed,---,rice groundnuts,2.8,---,1.6,---,---,---,10.5955483 7.4295119 0.0 20.0,yes,4f2d9b7f-28a5-446b-8bea-2584ec5c7dd9,2026-03-06 00:05:00,2026-03-06,tester_01,2026-03-06 00:05:19,https://www.commcarehq.org/form/7d716f26-aa9e-47c8-9780-9553c1b2e512,tester_01,True,31,5.0,10.5955483,7.4295119
276,2000c6a9-d93e-4f54-821c-5c68faedf1b8,community_05,Peter,Daniel,female,1988-04-03,96003469046.0,8090010758,https://www.commcarehq.org/photos/farmer_276.jpg,5,livestock_farming,17,owned,1,rain-fed,---,maize groundnuts,2.5,3.1,---,---,---,---,10.427661 7.250877 0.0 20.0,yes,560c0652-7f99-4846-9002-976357498496,2026-01-26 00:02:00,2026-01-26,tester_05,2026-01-26 00:02:20,https://www.commcarehq.org/form/2000c6a9-d93e-4f54-821c-5c68faedf1b8,tester_05,True,38,2.0,10.427661,7.250877
277,4a51b46b-1bef-418f-bed9-7902347f87a5,community_02,Hauwa,Sani,male,1992-03-03,20127125726.0,8081252563,https://www.commcarehq.org/photos/farmer_277.jpg,1,livestock_farming,9,family_land,1,rain-fed,---,groundnuts rice,1.0,---,3.4,goats,23,---,10.2249314 7.397422 0.0 20.0,yes,b15a7815-d62c-4e7b-8ef7-c294526090e7,2026-05-25 00:06:00,2026-05-25,tester_02,2026-05-25 00:06:06,https://www.commcarehq.org/form/4a51b46b-1bef-418f-bed9-7902347f87a5,tester_02,True,34,6.0,10.2249314,7.397422
278,cf26a12e-0eac-4525-81ed-bd193a496dd9,community_03,Fatima,Usman,female,1984-10-02,44915784501.0,8071423478,https://www.commcarehq.org/photos/farmer_278.jpg,10,mixed_farming,13,family_land,5,rain-fed,---,rice groundnuts,1.6,---,2.0,goats rabbits,16,25,10.3407156 7.3372503 0.0 20.0,yes,f343a82c-0a7f-43a7-b3b4-d37e26adfe8c,2026-03-02 00:03:00,2026-03-02,tester_03,2026-03-02 00:03:07,https://www.commcarehq.org/form/cf26a12e-0eac-4525-81ed-bd193a496dd9,tester_03,True,41,3.0,10.3407156,7.3372503
279,af99a184-7253-4bbe-9d4a-7ee258e75ba6,community_04,Peter,Usman,female,1967-09-29,13443563465.0,8082004236,https://www.commcarehq.org/photos/farmer_279.jpg,4,crop_farming,8,family_land,1,rain-fed,---,rice maize,---,5.9,3.5,goats,11,---,10.5120834 7.3170734 0.0 20.0,yes,39ba01b9-674d-4364-a559-7b1aba9440df,2026-05-15 00:04:00,2026-05-15,tester_04,2026-05-15 00:04:15,https://www.commcarehq.org/form/af99a184-7253-4bbe-9d4a-7ee258e75ba6,tester_04,True,58,4.0,10.5120834,7.3170734
280,a5bd67f5-52fc-49fc-8448-3f1af21d32e4,community_05,Esther,James,male,1951-02-27,31097090725.0,8085351770,https://www.commcarehq.org/photos/farmer_280.jpg,4,crop_farming,8,owned,1,rain-fed,---,groundnuts rice,1.2,---,2.6,---,---,---,10.3538653 7.2177662 0.0 20.0,yes,640ed8f2-61ba-4642-9c22-780737a947ad,2026-02-17 00:07:00,2026-02-17,tester_05,2026-02-17 00:07:18,https://www.commcarehq.org/form/a5bd67f5-52fc-49fc-8448-3f1af21d32e4,tester_05,True,75,7.0,10.3538653,7.2177662
281,4bf58c57-85d2-47e8-871d-b2364244bfbd,community_04,Ahmed,Ahmed,male,1975-09-06,,8038272076,https://www.commcarehq.org/photos/farmer_281.jpg,6,mixed_farming,7,owned,3,rain-fed,---,maize rice groundnuts,0.9,2.8,3.1,rabbits,---,2,10.3122801 7.4730395 0.0 20.0,yes,428333c6-394b-4e38-90e4-b1b7fa1f4b3c,2026-03-05 00:08:00,2026-03-05,tester_04,2026-03-05 00:08:14,https://www.commcarehq.org/form/4bf58c57-85d2-47e8-871d-b2364244bfbd,tester_04,True,50,8.0,10.3122801,7.4730395
282,4c153668-30c1-4e50-bcbe-6b32f7b87bf1,community_02,Joseph,Musa,female,1991-08-10,,8061532144,https://www.commcarehq.org/photos/farmer_282.jpg,2,mixed_farming,7,owned,3,rain-fed,---,rice maize groundnuts,1.6,2.0,3.3,goats rabbits,17,13,10.2587607 7.4471797 0.0 20.0,yes,7f85942d-c0f3-4f7d-ad08-01fd94204180,2026-01-30 00:07:00,2026-01-30,tester_02,2026-01-30 00:07:06,https://www.commcarehq.org/form/4c153668-30c1-4e50-bcbe-6b32f7b87bf1,tester_02,True,34,7.0,10.2587607,7.4471797
283,e88256a8-0099-4edd-a42c-d9b694f31c55,community_02,Esther,Tanko,male,1988-03-16,11105718202.0,8068376304,https://www.commcarehq.org/photos/farmer_283.jpg,1,crop_farming,14,owned,2,rain-fed,---,rice maize,---,2.5,1.9,---,---,---,10.5894005 7.4487665 0.0 20.0,yes,89410ebc-0a78-492a-8135-279e43d96c23,2026-01-12 00:04:00,2026-01-12,tester_02,2026-01-12 00:04:09,https://www.commcarehq.org/form/e88256a8-0099-4edd-a42c-d9b694f31c55,tester_02,True,38,4.0,10.5894005,7.4487665
284,308cb262-e944-4209-8c11-92535c50c666,community_07,Amina,James,female,1967-10-29,,8079356176,https://www.commcarehq.org/photos/farmer_284.jpg,3,mixed_farming,37,family_land,3,borehole,---,groundnuts maize rice,1.3,1.7,2.5,---,---,---,10.5196024 7.5909899 0.0 20.0,yes,0b24a988-159f-48ab-8cdc-570d863ec9ef,2026-03-22 00:07:00,2026-03-22,tester_07,2026-03-22 00:07:08,https://www.commcarehq.org/form/308cb262-e944-4209-8c11-92535c50c666,tester_07,True,58,7.0,10.5196024,7.5909899
285,20f7cc87-d40f-4ff7-83ef-227d94cfa20d,community_05,Samuel,Balogun,female,1995-01-10,97455399654.0,8042728992,https://www.commcarehq.org/photos/farmer_285.jpg,6,mixed_farming,13,owned,5,rain-fed,---,rice,---,---,2.2,rabbits,---,13,10.5505623 7.2062049 0.0 20.0,yes,0c298966-4136-4bb2-817a-e1bda8763ec6,2026-03-09 00:08:00,2026-03-09,tester_05,2026-03-09 00:08:20,https://www.commcarehq.org/form/20f7cc87-d40f-4ff7-83ef-227d94cfa20d,tester_05,True,31,8.0,10.5505623,7.2062049
286,4671aef9-0991-4f52-ac78-7f1b1ca686f4,community_05,Sarah,Tanko,male,1994-06-02,82442697940.0,8099345718,https://www.commcarehq.org/photos/farmer_286.jpg,5,livestock_farming,1,owned,2,irrigation_scheme,---,maize rice groundnuts,2.4,4.7,3.1,---,---,---,10.5280424 7.4037496 0.0 20.0,yes,8b4e6ac1-4d38-44b1-a948-005220bdf7d8,2026-01-02 00:06:00,2026-01-02,tester_05,2026-01-02 00:06:16,https://www.commcarehq.org/form/4671aef9-0991-4f52-ac78-7f1b1ca686f4,tester_05,True,32,6.0,10.5280424,7.4037496
287,a0988df9-58ae-4e2b-ab8a-4a6c8d7db366,community_05,Samuel,David,male,1996-09-10,26204938773.0,8024055592,https://www.commcarehq.org/photos/farmer_287.jpg,6,crop_farming,12,leased,3,rain-fed,---,rice maize groundnuts,1.4,1.5,1.5,---,---,---,10.2677283 7.575682 0.0 20.0,yes,b9bce74b-4b76-4407-8288-530f8701d42d,2026-06-05 00:08:00,2026-06-05,tester_05,2026-06-05 00:08:08,https://www.commcarehq.org/form/a0988df9-58ae-4e2b-ab8a-4a6c8d7db366,tester_05,True,29,8.0,10.2677283,7.575682
288,3183d717-e34c-4b85-a861-d9327269587a,community_07,Ahmed,Mohammed,male,1988-04-15,18171352692.0,8095708029,https://www.commcarehq.org/photos/farmer_288.jpg,7,crop_farming,15,owned,1,irrigation_scheme,---,maize,---,5.8,---,rabbits,---,10,10.5972309 7.4926535 0.0 20.0,yes,95bdd2c3-7a29-4648-be3c-6cb5bb8390a4,2026-04-01 00:08:00,2026-04-01,tester_07,2026-04-01 00:08:07,https://www.commcarehq.org/form/3183d717-e34c-4b85-a861-d9327269587a,tester_07,True,38,8.0,10.5972309,7.4926535
289,b9955630-338e-4be8-b3fc-0b191fa0922d,community_05,Peter,Balogun,male,2003-02-16,81878518578.0,8060680175,https://www.commcarehq.org/photos/farmer_289.jpg,4,livestock_farming,1,leased,4,rain-fed,---,rice,---,---,1.2,---,---,---,10.2748419 7.3986906 0.0 20.0,yes,2e3ee951-f3c3-4247-adb3-b661052ef0fb,2026-06-12 00:02:00,2026-06-12,tester_05,2026-06-12 00:02:11,https://www.commcarehq.org/form/b9955630-338e-4be8-b3fc-0b191fa0922d,tester_05,True,23,2.0,10.2748419,7.3986906
290,5d357d45-2c86-4d2f-a4d4-031e602a9398,community_01,Fatima,Ibrahim,male,1994-06-20,92734272063.0,8035646132,https://www.commcarehq.org/photos/farmer_290.jpg,5,mixed_farming,10,owned,2,rain-fed,---,maize rice,---,2.5,2.8,goats,16,---,10.4642451 7.3390314 0.0 20.0,yes,e6a4214f-31c2-49b0-899a-c743c7b0af08,2026-02-02 00:08:00,2026-02-02,tester_01,2026-02-02 00:08:20,https://www.commcarehq.org/form/5d357d45-2c86-4d2f-a4d4-031e602a9398,tester_01,True,32,8.0,10.4642451,7.3390314
291,625fb132-9f78-4276-99ad-22876609da30,community_06,Deborah,Ibrahim,female,1986-02-13,16051633920.0,8053648420,https://www.commcarehq.org/photos/farmer_291.jpg,6,mixed_farming,10,owned,1,rain-fed,---,rice,---,---,0.9,---,---,---,10.2516861 7.4159069 0.0 20.0,yes,67621e83-7e04-41a4-8c6a-893969ba340d,2026-01-06 00:08:00,2026-01-06,tester_06,2026-01-06 00:08:17,https://www.commcarehq.org/form/625fb132-9f78-4276-99ad-22876609da30,tester_06,True,40,8.0,10.2516861,7.4159069
292,260128bf-cf11-4c59-9bb7-dcb8c536d697,community_01,Yusuf,Johnson,female,1968-06-13,,8053115828,https://www.commcarehq.org/photos/farmer_292.jpg,5,mixed_farming,1,owned,1,rain-fed,---,maize rice groundnuts,0.9,2.3,1.3,---,---,---,10.3089833 7.2494571 0.0 20.0,yes,760b363e-5d54-4525-8991-d2885f19cfc9,2026-06-17 00:05:00,2026-06-17,tester_01,2026-06-17 00:05:09,https://www.commcarehq.org/form/260128bf-cf11-4c59-9bb7-dcb8c536d697,tester_01,True,58,5.0,10.3089833,7.2494571
293,7b1db63c-9ca9-4fa5-83fb-e9d0f260a9dd,community_06,Naomi,Mohammed,female,1999-07-13,,8040861771,https://www.commcarehq.org/photos/farmer_293.jpg,7,crop_farming,1,owned,2,rain-fed,---,rice maize groundnuts,1.2,1.1,3.9,---,---,---,10.5630663 7.4132816 0.0 20.0,yes,c6f3516e-97ea-40f6-98e0-3b79105ff1b7,2026-01-05 00:05:00,2026-01-05,tester_06,2026-01-05 00:05:17,https://www.commcarehq.org/form/7b1db63c-9ca9-4fa5-83fb-e9d0f260a9dd,tester_06,True,27,5.0,10.5630663,7.4132816
294,67687a42-559b-491d-a15d-d667daf6d2ed,community_07,Emmanuel,Sani,female,1987-06-29,71126470839.0,8035638901,https://www.commcarehq.org/photos/farmer_294.jpg,12,mixed_farming,16,owned,3,rain-fed,---,maize rice,---,2.4,1.7,goats,12,---,10.439492 7.5485712 0.0 20.0,yes,1338f223-8adf-49c9-889b-43c120dff15f,2026-02-23 00:08:00,2026-02-23,tester_07,2026-02-23 00:08:20,https://www.commcarehq.org/form/67687a42-559b-491d-a15d-d667daf6d2ed,tester_07,True,39,8.0,10.439492,7.5485712
295,ddae03b8-2e10-4751-83a6-b3f9c7dfd22f,community_04,Ibrahim,Ojo,male,1978-10-23,21738443338.0,8094010511,https://www.commcarehq.org/photos/farmer_295.jpg,2,mixed_farming,17,owned,3,rain-fed,---,maize,---,1.2,---,---,---,---,10.5520905 7.3084431 0.0 20.0,yes,6dafc8ba-c85a-4847-8474-026e5b94e848,2026-04-06 00:06:00,2026-04-06,tester_04,2026-04-06 00:06:10,https://www.commcarehq.org/form/ddae03b8-2e10-4751-83a6-b3f9c7dfd22f,tester_04,True,47,6.0,10.5520905,7.3084431
296,118321eb-c7a6-4777-acbf-f4e9dfa01802,community_01,Esther,Adeyemi,male,1980-10-20,72157239307.0,8023799174,https://www.commcarehq.org/photos/farmer_296.jpg,5,crop_farming,1,owned,4,rain-fed,---,groundnuts rice,2.1,---,2.6,goats,22,---,10.2904118 7.4515287 0.0 20.0,yes,25b66d9f-1241-4ab8-bc17-f3a404ed6b98,2026-03-12 00:04:00,2026-03-12,tester_01,2026-03-12 00:04:18,https://www.commcarehq.org/form/118321eb-c7a6-4777-acbf-f4e9dfa01802,tester_01,True,45,4.0,10.2904118,7.4515287
297,d5f4d26e-3443-4e92-bfce-7b68cb416bff,community_04,Musa,Samuel,female,1991-09-26,38601765923.0,8001722175,https://www.commcarehq.org/photos/farmer_297.jpg,6,mixed_farming,9,leased,3,borehole,---,groundnuts rice,0.5,---,1.3,goats rabbits,21,12,10.3901856 7.2000987 0.0 20.0,yes,89371a83-d71a-4745-8937-2a24bd8138ae,2026-01-14 00:03:00,2026-01-14,tester_04,2026-01-14 00:03:19,https://www.commcarehq.org/form/d5f4d26e-3443-4e92-bfce-7b68cb416bff,tester_04,True,34,3.0,10.3901856,7.2000987
298,cb38d449-2825-4a81-8d5f-5e3344e383af,community_03,Ruth,Johnson,male,1972-10-01,64863567025.0,8073830621,https://www.commcarehq.org/photos/farmer_298.jpg,8,mixed_farming,36,owned,3,borehole,---,maize rice groundnuts,0.6,2.7,2.1,---,---,---,10.285512 7.4239176 0.0 20.0,yes,2aa9a51b-ed7c-49f2-a230-0e2c3b7ae196,2026-02-18 00:05:00,2026-02-18,tester_03,2026-02-18 00:05:16,https://www.commcarehq.org/form/cb38d449-2825-4a81-8d5f-5e3344e383af,tester_03,True,53,5.0,10.285512,7.4239176
299,ab165828-c155-4344-b3a3-ec86c49ab8ed,community_01,Suleiman,Yusuf,male,1993-07-07,24295590542.0,8099502663,https://www.commcarehq.org/photos/farmer_299.jpg,8,crop_farming,10,family_land,3,other,Spring Water,maize groundnuts,1.7,5.7,---,---,---,---,10.2152774 7.2115348 0.0 20.0,yes,fc37918d-cbb1-4b41-9191-e55412f3b837,2026-02-09 00:07:00,2026-02-09,tester_01,2026-02-09 00:07:10,https://www.commcarehq.org/form/ab165828-c155-4344-b3a3-ec86c49ab8ed,tester_01,True,33,7.0,10.2152774,7.2115348
300,c7fd6e7b-f656-4872-85ec-3437fe00bd8a,community_06,Sarah,Bello,male,1975-11-29,53217358824.0,8005916088,https://www.commcarehq.org/photos/farmer_300.jpg,5,livestock_farming,24,owned,3,river_stream,---,groundnuts rice maize,2.6,3.5,3.1,goats rabbits,16,40,10.2794734 7.4021863 0.0 20.0,yes,55e5781a-f5a2-4340-98cb-bd69a3d46f1c,2026-01-01 00:04:00,2026-01-01,tester_06,2026-01-01 00:04:13,https://www.commcarehq.org/form/c7fd6e7b-f656-4872-85ec-3437fe00bd8a,tester_06,True,50,4.0,10.2794734,7.4021863
301,adc031ba-bae4-4203-81a2-6c53d642e51e,community_04,Mary,Johnson,male,1974-09-28,,8009103601,https://www.commcarehq.org/photos/farmer_301.jpg,3,crop_farming,16,owned,3,irrigation_scheme,---,rice,---,---,3.1,goats,3,---,10.3148306 7.3115854 0.0 20.0,yes,da500100-54f1-4457-99b8-20530ccbf477,2026-04-16 00:03:00,2026-04-16,tester_04,2026-04-16 00:03:11,https://www.commcarehq.org/form/adc031ba-bae4-4203-81a2-6c53d642e51e,tester_04,True,51,3.0,10.3148306,7.3115854
302,e3e3b9d5-18a8-4d8f-a40f-25b6ffb1d698,community_02,John,Isa,female,1989-02-25,88834782293.0,8037586195,https://www.commcarehq.org/photos/farmer_302.jpg,4,mixed_farming,12,family_land,3,rain-fed,---,rice maize groundnuts,1.8,1.8,1.3,goats,5,---,10.4524455 7.3900839 0.0 20.0,yes,ded56cce-2ea8-4929-8509-00fd6c1a7200,2026-03-24 00:04:00,2026-03-24,tester_02,2026-03-24 00:04:17,https://www.commcarehq.org/form/e3e3b9d5-18a8-4d8f-a40f-25b6ffb1d698,tester_02,True,37,4.0,10.4524455,7.3900839
303,65ce2a3a-73f4-44fc-848c-21bb19cdf510,community_05,Naomi,Musa,male,2003-07-03,54991912411.0,8039131574,https://www.commcarehq.org/photos/farmer_303.jpg,7,crop_farming,4,owned,1,rain-fed,---,maize rice,---,2.3,3.9,---,---,---,10.5603462 7.4027843 0.0 20.0,yes,65f68fe6-f376-40a6-a5b0-8d061949eb73,2026-03-10 00:06:00,2026-03-10,tester_05,2026-03-10 00:06:17,https://www.commcarehq.org/form/65ce2a3a-73f4-44fc-848c-21bb19cdf510,tester_05,True,23,6.0,10.5603462,7.4027843
304,0e2e207b-a805-42e4-9f3e-f10eb7964662,community_04,Rebecca,Yakubu,male,1986-07-19,,8019713993,https://www.commcarehq.org/photos/farmer_304.jpg,4,crop_farming,1,family_land,1,rain-fed,---,groundnuts,1.1,---,---,goats,4,---,10.2616552 7.4221393 0.0 20.0,yes,570b80b4-3cd8-4892-a89f-cbdc0e08e55f,2026-01-02 00:05:00,2026-01-02,tester_04,2026-01-02 00:05:10,https://www.commcarehq.org/form/0e2e207b-a805-42e4-9f3e-f10eb7964662,tester_04,True,40,5.0,10.2616552,7.4221393
305,78aeebff-c775-43a5-8c27-2dcfbd5b2e8d,community_03,Ruth,Sani,female,1978-08-05,26823171034.0,8033933268,https://www.commcarehq.org/photos/farmer_305.jpg,12,mixed_farming,19,owned,4,rain-fed,---,rice groundnuts,2.0,---,3.1,---,---,---,10.255232 7.2751882 0.0 20.0,yes,3a9be1f9-971d-4a1e-a2ef-2fbd1ec19ab3,2026-04-22 00:02:00,2026-04-22,tester_03,2026-04-22 00:02:15,https://www.commcarehq.org/form/78aeebff-c775-43a5-8c27-2dcfbd5b2e8d,tester_03,True,48,2.0,10.255232,7.2751882
306,0a79cca4-92f0-4500-863a-8d11df976670,community_03,Rebecca,Usman,male,1989-06-23,69936341946.0,8013518376,https://www.commcarehq.org/photos/farmer_306.jpg,11,crop_farming,17,owned,6,dam_reservoir,---,maize groundnuts,1.3,2.1,---,---,---,---,10.5209674 7.380108 0.0 20.0,yes,4f02ea2f-e16d-4d64-b246-b3aa4a8de56f,2026-05-02 00:07:00,2026-05-02,tester_03,2026-05-02 00:07:15,https://www.commcarehq.org/form/0a79cca4-92f0-4500-863a-8d11df976670,tester_03,True,37,7.0,10.5209674,7.380108
307,86a914e6-0185-4307-a8ed-ce13a5a25557,community_06,Daniel,James,female,1953-08-08,52979551883.0,8097256844,https://www.commcarehq.org/photos/farmer_307.jpg,2,crop_farming,39,family_land,2,borehole,---,rice,---,---,1.4,goats rabbits,15,22,10.3190733 7.214246 0.0 20.0,yes,e54ac605-7376-4ff9-a588-0308e9499752,2026-01-10 00:06:00,2026-01-10,tester_06,2026-01-10 00:06:17,https://www.commcarehq.org/form/86a914e6-0185-4307-a8ed-ce13a5a25557,tester_06,True,73,6.0,10.3190733,7.214246
