number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,gps_valid
285,c37e86dd-dc7e-48f4-bbc9-eb984e523aa1,community_05,Samuel,Balogun,female,1995-01-10,97455399654.0,08042728992,https://www.commcarehq.org/photos/farmer_285.jpg,6,mixed_farming,13,owned,5,rain-fed,---,rice,---,---,2.2,rabbits,---,13,10.5505623 7.2062049 0.0 20.0,yes,b2d89a9d-cd6b-49c0-871c-b48131cc1cbc,2026-03-09 00:08:00,2026-03-09,tester,2026-03-09 00:08:20,https://www.commcarehq.org/form/c37e86dd-dc7e-48f4-bbc9-eb984e523aa1,tester,True
286,5a22bf73-ba32-40c6-ba75-e44c5bb05eda,community_05,Sarah,Tanko,male,1994-06-02,82442697940.0,08099345718,https://www.commcarehq.org/photos/farmer_286.jpg,5,livestock_farming,1,owned,2,irrigation_scheme,---,maize rice groundnuts,2.4,4.7,3.1,---,---,---,10.5280424 7.4037496 0.0 20.0,yes,ed7e0b5d-06bc-4599-bddd-df9d95d6b220,2026-01-02 00:06:00,2026-01-02,tester,2026-01-02 00:06:16,https://www.commcarehq.org/form/5a22bf73-ba32-40c6-ba75-e44c5bb05eda,tester,True
287,cf792f26-f534-45e8-89e0-cecc3f831198,community_05,Samuel,David,male,1996-09-10,26204938773.0,08024055592,https://www.commcarehq.org/photos/farmer_287.jpg,6,crop_farming,12,leased,3,rain-fed,---,rice maize groundnuts,1.4,1.5,1.5,---,---,---,10.2677283 7.575682 0.0 20.0,yes,229359ab-13c2-4754-942f-4b3e123e2452,2026-06-05 00:08:00,2026-06-05,tester,2026-06-05 00:08:08,https://www.commcarehq.org/form/cf792f26-f534-45e8-89e0-cecc3f831198,tester,True
288,f0ec5d5a-dfff-46ff-823b-c212caadc76c,community_07,Ahmed,Mohammed,male,1988-04-15,18171352692.0,08095708029,https://www.commcarehq.org/photos/farmer_288.jpg,7,crop_farming,15,owned,1,irrigation_scheme,---,maize,---,5.8,---,rabbits,---,10,10.5972309 7.4926535 0.0 20.0,yes,f2c49780-c135-4f96-8688-fbda17884312,2026-04-01 00:08:00,2026-04-01,tester,2026-04-01 00:08:07,https://www.commcarehq.org/form/f0ec5d5a-dfff-46ff-823b-c212caadc76c,tester,True
289,cb86ed56-8f97-4f05-ae6b-dc9f8202589a,community_05,Peter,Balogun,male,2003-02-16,81878518578.0,08060680175,https://www.commcarehq.org/photos/farmer_289.jpg,4,livestock_farming,1,leased,4,rain-fed,---,rice,---,---,1.2,---,---,---,10.2748419 7.3986906 0.0 20.0,yes,3b9cf9ca-57bb-4598-9d9b-9a9fc7de0e72,2026-06-12 00:02:00,2026-06-12,tester,2026-06-12 00:02:11,https://www.commcarehq.org/form/cb86ed56-8f97-4f05-ae6b-dc9f8202589a,tester,True
290,956c46f0-61bc-47eb-a1ba-84e9fcafc233,community_01,Fatima,Ibrahim,male,1994-06-20,92734272063.0,08035646132,https://www.commcarehq.org/photos/farmer_290.jpg,5,mixed_farming,10,owned,2,rain-fed,---,maize rice,---,2.5,2.8,goats,16,---,10.4642451 7.3390314 0.0 20.0,yes,614868a8-f662-4c2c-913b-8f0a10eb3213,2026-02-02 00:08:00,2026-02-02,tester,2026-02-02 00:08:20,https://www.commcarehq.org/form/956c46f0-61bc-47eb-a1ba-84e9fcafc233,tester,True
291,fdbb4e07-a459-41c2-ac7d-8d3625257aac,community_06,Deborah,Ibrahim,female,1986-02-13,16051633920.0,08053648420,https://www.commcarehq.org/photos/farmer_291.jpg,6,mixed_farming,10,owned,1,rain-fed,---,rice,---,---,0.9,---,---,---,10.2516861 7.4159069 0.0 20.0,yes,09047758-06f9-4840-a320-4ad5949d854d,2026-01-06 00:08:00,2026-01-06,tester,2026-01-06 00:08:17,https://www.commcarehq.org/form/fdbb4e07-a459-41c2-ac7d-8d3625257aac,tester,True
292,169bc15b-766d-4776-a7af-21fab37f9000,community_01,Yusuf,Johnson,female,1968-06-13,,08053115828,https://www.commcarehq.org/photos/farmer_292.jpg,5,mixed_farming,1,owned,1,rain-fed,---,maize rice groundnuts,0.9,2.3,1.3,---,---,---,10.3089833 7.2494571 0.0 20.0,yes,d238b5cf-8c23-48d4-8763-e862684ad893,2026-06-17 00:05:00,2026-06-17,tester,2026-06-17 00:05:09,https://www.commcarehq.org/form/169bc15b-766d-4776-a7af-21fab37f9000,tester,True
293,3f1c3402-5bde-492c-8f45-eacc024825fe,community_06,Naomi,Mohammed,female,1999-07-13,,08040861771,https://www.commcarehq.org/photos/farmer_293.jpg,7,crop_farming,1,owned,2,rain-fed,---,rice maize groundnuts,1.2,1.1,3.9,---,---,---,10.5630663 7.4132816 0.0 20.0,yes,e9e102da-62b7-4917-a93f-b0df1af3a66a,2026-01-05 00:05:00,2026-01-05,tester,2026-01-05 00:05:17,https://www.commcarehq.org/form/3f1c3402-5bde-492c-8f45-eacc024825fe,tester,True
294,325e33ec-a52b-40cc-bc0f-f3e36b6e729d,community_07,Emmanuel,Sani,female,1987-06-29,71126470839.0,08035638901,https://www.commcarehq.org/photos/farmer_294.jpg,12,mixed_farming,16,owned,3,rain-fed,---,maize rice,---,2.4,1.7,goats,12,---,10.439492 7.5485712 0.0 20.0,yes,30d2a4aa-c02a-4800-ad6d-5cc220a36b2a,2026-02-23 00:08:00,2026-02-23,tester,2026-02-23 00:08:20,https://www.commcarehq.org/form/325e33ec-a52b-40cc-bc0f-f3e36b6e729d,tester,True
295,349abbd7-3ac8-474c-8e33-4e4768c6bd57,community_04,Ibrahim,Ojo,male,1978-10-23,21738443338.0,08094010511,https://www.commcarehq.org/photos/farmer_295.jpg,2,mixed_farming,17,owned,3,rain-fed,---,maize,---,1.2,---,---,---,---,10.5520905 7.3084431 0.0 20.0,yes,f3377da9-3f36-43dc-8b22-0768bbd65b82,2026-04-06 00:06:00,2026-04-06,tester,2026-04-06 00:06:10,https://www.commcarehq.org/form/349abbd7-3ac8-474c-8e33-4e4768c6bd57,tester,True
296,3f4f7ac6-065c-4664-8b8d-6ba48cc8f7e2,community_01,Esther,Adeyemi,male,1980-10-20,72157239307.0,08023799174,https://www.commcarehq.org/photos/farmer_296.jpg,5,crop_farming,1,owned,4,rain-fed,---,groundnuts rice,2.1,---,2.6,goats,22,---,10.2904118 7.4515287 0.0 20.0,yes,d706d822-df8b-4a97-924e-660dae88616e,2026-03-12 00:04:00,2026-03-12,tester,2026-03-12 00:04:18,https://www.commcarehq.org/form/3f4f7ac6-065c-4664-8b8d-6ba48cc8f7e2,tester,True
297,b97c46eb-15a7-4ff9-b3b6-4b4ad6738e9e,community_04,Musa,Samuel,female,1991-09-26,38601765923.0,08001722175,https://www.commcarehq.org/photos/farmer_297.jpg,6,mixed_farming,9,leased,3,borehole,---,groundnuts rice,0.5,---,1.3,goats rabbits,21,12,10.3901856 7.2000987 0.0 20.0,yes,d5c87530-c03b-4f26-b962-ccdd4f524cf4,2026-01-14 00:03:00,2026-01-14,tester,2026-01-14 00:03:19,https://www.commcarehq.org/form/b97c46eb-15a7-4ff9-b3b6-4b4ad6738e9e,tester,True
298,8dd9e4ee-e487-432c-bcc5-a598b4078a5a,community_03,Ruth,Johnson,male,1972-10-01,64863567025.0,08073830621,https://www.commcarehq.org/photos/farmer_298.jpg,8,mixed_farming,36,owned,3,borehole,---,maize rice groundnuts,0.6,2.7,2.1,---,---,---,10.285512 7.4239176 0.0 20.0,yes,b24063bd-f4c7-46b4-ba8e-af6b105907e1,2026-02-18 00:05:00,2026-02-18,tester,2026-02-18 00:05:16,https://www.commcarehq.org/form/8dd9e4ee-e487-432c-bcc5-a598b4078a5a,tester,True
299,a5465f75-8738-46bf-993c-fb373715dfc0,community_01,Suleiman,Yusuf,male,1993-07-07,24295590542.0,08099502663,https://www.commcarehq.org/photos/farmer_299.jpg,8,crop_farming,10,family_land,3,other,Spring Water,maize groundnuts,1.7,5.7,---,---,---,---,10.2152774 7.2115348 0.0 20.0,yes,6d6d6f2c-4f02-4fd8-88bd-acaede614e67,2026-02-09 00:07:00,2026-02-09,tester,2026-02-09 00:07:10,https://www.commcarehq.org/form/a5465f75-8738-46bf-993c-fb373715dfc0,tester,True
300,71746059-c90a-417e-a126-be4e05bfc995,community_06,Sarah,Bello,male,1975-11-29,53217358824.0,08005916088,https://www.commcarehq.org/photos/farmer_300.jpg,5,livestock_farming,24,owned,3,river_stream,---,groundnuts rice maize,2.6,3.5,3.1,goats rabbits,16,40,10.2794734 7.4021863 0.0 20.0,yes,4d5e6e59-6507-421b-9a90-d75a49832a15,2026-01-01 00:04:00,2026-01-01,tester,2026-01-01 00:04:13,https://www.commcarehq.org/form/71746059-c90a-417e-a126-be4e05bfc995,tester,True
301,cb2397b6-8305-4084-a0aa-5ba56e4f116d,community_04,Mary,Johnson,male,1974-09-28,,08009103601,https://www.commcarehq.org/photos/farmer_301.jpg,3,crop_farming,16,owned,3,irrigation_scheme,---,rice,---,---,3.1,goats,3,---,10.3148306 7.3115854 0.0 20.0,yes,36e01a62-8991-4d86-87a8-16be35fca709,2026-04-16 00:03:00,2026-04-16,tester,2026-04-16 00:03:11,https://www.commcarehq.org/form/cb2397b6-8305-4084-a0aa-5ba56e4f116d,tester,True
302,34465dff-9530-46c4-95b3-082386e41b25,community_02,John,Isa,female,1989-02-25,88834782293.0,08037586195,https://www.commcarehq.org/photos/farmer_302.jpg,4,mixed_farming,12,family_land,3,rain-fed,---,rice maize groundnuts,1.8,1.8,1.3,goats,5,---,10.4524455 7.3900839 0.0 20.0,yes,6c4e54ba-ad5f-4a08-8507-c1e4b60bf70b,2026-03-24 00:04:00,2026-03-24,tester,2026-03-24 00:04:17,https://www.commcarehq.org/form/34465dff-9530-46c4-95b3-082386e41b25,tester,True
303,9e7a6598-dfcf-47e0-b5cc-3ca88b3d6dde,community_05,Naomi,Musa,male,2003-07-03,54991912411.0,08039131574,https://www.commcarehq.org/photos/farmer_303.jpg,7,crop_farming,4,owned,1,rain-fed,---,maize rice,---,2.3,3.9,---,---,---,10.5603462 7.4027843 0.0 20.0,yes,0f0b2fc6-5377-42d0-a117-1629d3256146,2026-03-10 00:06:00,2026-03-10,tester,2026-03-10 00:06:17,https://www.commcarehq.org/form/9e7a6598-dfcf-47e0-b5cc-3ca88b3d6dde,tester,True
304,391017f7-d8bb-4d2b-82bc-73f14b502da8,community_04,Rebecca,Yakubu,male,1986-07-19,,08019713993,https://www.commcarehq.org/photos/farmer_304.jpg,4,crop_farming,1,family_land,1,rain-fed,---,groundnuts,1.1,---,---,goats,4,---,10.2616552 7.4221393 0.0 20.0,yes,99e56463-bfe9-4558-89de-51e3917bb9f4,2026-01-02 00:05:00,2026-01-02,tester,2026-01-02 00:05:10,https://www.commcarehq.org/form/391017f7-d8bb-4d2b-82bc-73f14b502da8,tester,True
305,432c8a7e-2fd4-4657-a628-60ba71114d46,community_03,Ruth,Sani,female,1978-08-05,26823171034.0,08033933268,https://www.commcarehq.org/photos/farmer_305.jpg,12,mixed_farming,19,owned,4,rain-fed,---,rice groundnuts,2.0,---,3.1,---,---,---,10.255232 7.2751882 0.0 20.0,yes,c42b61a0-447c-43c5-8a35-153ed3639908,2026-04-22 00:02:00,2026-04-22,tester,2026-04-22 00:02:15,https://www.commcarehq.org/form/432c8a7e-2fd4-4657-a628-60ba71114d46,tester,True
306,c76b90b3-486c-4281-8af0-9d94314fd1eb,community_03,Rebecca,Usman,male,1989-06-23,69936341946.0,08013518376,https://www.commcarehq.org/photos/farmer_306.jpg,11,crop_farming,17,owned,6,dam_reservoir,---,maize groundnuts,1.3,2.1,---,---,---,---,10.5209674 7.380108 0.0 20.0,yes,5946400d-f828-48cf-a591-73d7fe3a3d40,2026-05-02 00:07:00,2026-05-02,tester,2026-05-02 00:07:15,https://www.commcarehq.org/form/c76b90b3-486c-4281-8af0-9d94314fd1eb,tester,True
307,fb018707-07e1-4e92-93a3-9ee36e30aa7d,community_06,Daniel,James,female,1953-08-08,52979551883.0,08097256844,https://www.commcarehq.org/photos/farmer_307.jpg,2,crop_farming,39,family_land,2,borehole,---,rice,---,---,1.4,goats rabbits,15,22,10.3190733 7.214246 0.0 20.0,yes,54e90dc8-8af0-425e-9e1f-bb010a2c85e6,2026-01-10 00:06:00,2026-01-10,tester,2026-01-10 00:06:17,https://www.commcarehq.org/form/fb018707-07e1-4e92-93a3-9ee36e30aa7d,tester,True
308,bbb726ab-c1c4-4129-8511-1690c6ee7030,community_02,Fatima,Sani,male,1968-12-07,,08034699985,https://www.commcarehq.org/photos/farmer_308.jpg,9,crop_farming,6,owned,3,rain-fed,---,groundnuts,2.9,---,---,goats,22,---,10.2317133 7.5649387 0.0 20.0,yes,6c7412fd-dd6c-4fe3-b9ff-6452ba43f309,2026-02-19 00:06:00,2026-02-19,tester,2026-02-19 00:06:13,https://www.commcarehq.org/form/bbb726ab-c1c4-4129-8511-1690c6ee7030,tester,True
309,ca83ac1a-e617-4ac4-a5fc-1672af103d1a,community_07,Hauwa,Yakubu,male,1976-01-04,69852423409.0,08026150312,https://www.commcarehq.org/photos/farmer_309.jpg,12,mixed_farming,18,owned,3,rain-fed,---,groundnuts,1.1,---,---,---,---,---,10.4445545 7.4912656 0.0 20.0,yes,b3e4cc9f-ed67-40d5-9999-22c98f055dd7,2026-04-28 00:06:00,2026-04-28,tester,2026-04-28 00:06:18,https://www.commcarehq.org/form/ca83ac1a-e617-4ac4-a5fc-1672af103d1a,tester,True
310,f0fa58f3-6807-4849-b571-a72aab2102fa,community_05,Ibrahim,Sani,male,1966-01-22,29088479934.0,08047266208,https://www.commcarehq.org/photos/farmer_310.jpg,3,crop_farming,14,family_land,3,rain-fed,---,maize rice,---,0.7,2.7,goats,13,---,10.3661572 7.5059761 0.0 20.0,yes,e2da75f1-72fc-41b7-bae4-74d43b0a9116,2026-03-14 00:06:00,2026-03-14,tester,2026-03-14 00:06:20,https://www.commcarehq.org/form/f0fa58f3-6807-4849-b571-a72aab2102fa,tester,True
311,49ae31af-412f-4d24-9e88-bc8b4559cee9,community_07,Joseph,Philip,male,1995-05-21,87784575441.0,08028799532,https://www.commcarehq.org/photos/farmer_311.jpg,7,mixed_farming,11,leased,3,rain-fed,---,rice maize groundnuts,2.6,3.5,2.1,---,---,---,10.5695642 7.2710507 0.0 20.0,yes,caf8c2a1-fea4-43cc-aeaa-0a9a4afc9a57,2026-05-17 00:08:00,2026-05-17,tester,2026-05-17 00:08:15,https://www.commcarehq.org/form/49ae31af-412f-4d24-9e88-bc8b4559cee9,tester,True
312,b70ec0ba-b15c-4063-9d68-42be146ba827,community_06,Binta,Isa,female,1998-08-08,67631029021.0,08010265054,https://www.commcarehq.org/photos/farmer_312.jpg,3,mixed_farming,8,family_land,6,irrigation_scheme,---,maize groundnuts rice,1.6,4.8,1.3,---,---,---,10.2799141 7.25306 0.0 20.0,yes,360da45c-2cd9-4f30-9718-5a1fc47d8991,2026-01-08 00:03:00,2026-01-08,tester,2026-01-08 00:03:19,https://www.commcarehq.org/form/b70ec0ba-b15c-4063-9d68-42be146ba827,tester,True
313,eac11b56-98e2-469b-b19b-f4ef73575827,community_03,Ahmed,Eze,male,1993-11-15,40748815843.0,08049006898,https://www.commcarehq.org/photos/farmer_313.jpg,3,livestock_farming,9,owned,3,rain-fed,---,maize,---,3.4,---,---,---,---,10.3593587 7.5289263 0.0 20.0,yes,6611ae3d-a7c9-49b8-bd8c-bcf4b9d41f7c,2026-04-04 00:05:00,2026-04-04,tester,2026-04-04 00:05:19,https://www.commcarehq.org/form/eac11b56-98e2-469b-b19b-f4ef73575827,tester,True
314,a9e34933-fc74-4d7d-a8e9-033befd92ea3,community_03,Mary,James,male,1987-05-15,,08036124236,https://www.commcarehq.org/photos/farmer_314.jpg,6,crop_farming,9,owned,3,borehole,---,maize rice groundnuts,2.4,1.4,1.5,goats,13,---,10.4855213 7.3226651 0.0 20.0,yes,effc8719-c1ba-4f97-bd07-d45ac31aa1c9,2026-05-26 00:07:00,2026-05-26,tester,2026-05-26 00:07:14,https://www.commcarehq.org/form/a9e34933-fc74-4d7d-a8e9-033befd92ea3,tester,True
315,b6454d73-9f54-41fe-89a5-3cde852a72ca,community_03,Samuel,Adeyemi,male,1974-04-30,65229618497.0,08022851035,https://www.commcarehq.org/photos/farmer_315.jpg,7,crop_farming,23,family_land,3,rain-fed,---,maize rice,---,4.4,3.5,---,---,---,10.3519489 7.4674979 0.0 20.0,yes,81358c06-2a9f-4b2e-85f1-2e82ddb9d088,2026-02-27 00:04:00,2026-02-27,tester,2026-02-27 00:04:11,https://www.commcarehq.org/form/b6454d73-9f54-41fe-89a5-3cde852a72ca,tester,True
316,8b6ddb30-c271-476b-8570-2692765fad12,community_02,James,Eze,female,1973-01-13,82102559810.0,08087306952,https://www.commcarehq.org/photos/farmer_316.jpg,7,crop_farming,4,owned,3,rain-fed,---,groundnuts rice maize,2.2,3.2,0.6,---,---,---,10.2365437 7.2760057 0.0 20.0,yes,67e2ec99-1cf1-4e65-9715-753bd60baa9b,2026-01-17 00:03:00,2026-01-17,tester,2026-01-17 00:03:14,https://www.commcarehq.org/form/8b6ddb30-c271-476b-8570-2692765fad12,tester,True
317,a63bcfd1-69d9-4f7b-af1d-bf87e077cab8,community_01,Peter,Garba,female,1979-05-24,17651108815.0,08036110152,https://www.commcarehq.org/photos/farmer_317.jpg,12,livestock_farming,4,family_land,2,rain-fed,---,rice maize groundnuts,1.1,2.9,1.4,---,---,---,10.3933119 7.3135023 0.0 20.0,yes,694c0114-cda0-4dea-aeb0-58d0c3aed8a8,2026-03-09 00:08:00,2026-03-09,tester,2026-03-09 00:08:12,https://www.commcarehq.org/form/a63bcfd1-69d9-4f7b-af1d-bf87e077cab8,tester,True
318,7af4a3dc-6794-4726-ae0b-dc55a51d6d1e,community_03,Ahmed,Sani,male,1985-04-09,82904296987.0,08041043946,https://www.commcarehq.org/photos/farmer_318.jpg,7,crop_farming,8,owned,3,borehole,---,groundnuts maize,2.8,1.8,---,---,---,---,10.2767616 7.358496 0.0 20.0,yes,42afc601-0787-47f5-a931-cb0a43f5c881,2026-02-10 00:06:00,2026-02-10,tester,2026-02-10 00:06:10,https://www.commcarehq.org/form/7af4a3dc-6794-4726-ae0b-dc55a51d6d1e,tester,True
319,0db17ae2-bece-4676-b360-c815284fcb0c,community_02,Esther,Ibrahim,female,1972-03-19,,08048313374,https://www.commcarehq.org/photos/farmer_319.jpg,6,crop_farming,26,owned,2,river_stream,---,maize groundnuts,2.5,1.7,---,---,---,---,10.5330207 7.2094716 0.0 20.0,yes,62548b77-68b1-4e48-84df-965edbebc2c7,2026-04-08 00:04:00,2026-04-08,tester,2026-04-08 00:04:11,https://www.commcarehq.org/form/0db17ae2-bece-4676-b360-c815284fcb0c,tester,True
320,c90a851a-c7cf-4eb4-9e68-1eec998f74b0,community_06,Hauwa,Yakubu,male,1995-03-07,77529122887.0,08095997397,https://www.commcarehq.org/photos/farmer_320.jpg,4,crop_farming,2,owned,2,rain-fed,---,groundnuts maize,0.8,5.0,---,goats,25,---,10.260709 7.2601678 0.0 20.0,yes,49e53fe9-e33b-407f-9b4c-c34d3b6b99c7,2026-02-21 00:06:00,2026-02-21,tester,2026-02-21 00:06:07,https://www.commcarehq.org/form/c90a851a-c7cf-4eb4-9e68-1eec998f74b0,tester,True
321,5714aa76-31ea-4e23-a58b-7de82dbf5b8a,community_03,Ibrahim,Okafor,male,1977-10-15,,08061786793,https://www.commcarehq.org/photos/farmer_321.jpg,6,crop_farming,8,owned,6,rain-fed,---,rice groundnuts maize,0.8,3.0,1.9,rabbits,---,35,10.2241145 7.5958572 0.0 20.0,yes,870a8fa1-ed47-4164-9242-09044d202195,2026-05-25 00:05:00,2026-05-25,tester,2026-05-25 00:05:06,https://www.commcarehq.org/form/5714aa76-31ea-4e23-a58b-7de82dbf5b8a,tester,True
322,896cf891-5231-4516-9e63-83a757f7224f,community_07,Deborah,Abdullahi,male,1981-09-21,87633907147.0,08005115854,https://www.commcarehq.org/photos/farmer_322.jpg,8,mixed_farming,14,family_land,2,irrigation_scheme,---,groundnuts maize rice,1.0,4.0,2.1,---,---,---,10.5794015 7.5557588 0.0 20.0,yes,2ba6dba7-ab91-428b-b3ac-c1a9f08f20ed,2026-03-17 00:02:00,2026-03-17,tester,2026-03-17 00:02:17,https://www.commcarehq.org/form/896cf891-5231-4516-9e63-83a757f7224f,tester,True
323,e616d727-5c4b-4fce-ad50-4efb344011e3,community_01,Peter,Johnson,male,1992-09-13,,08034675388,https://www.commcarehq.org/photos/farmer_323.jpg,4,crop_farming,4,owned,3,rain-fed,---,rice,---,---,1.7,goats,12,---,10.4632668 7.2806806 0.0 20.0,yes,1f56b95b-e9e1-4c9b-8bf2-2c8a894f3e12,2026-03-11 00:03:00,2026-03-11,tester,2026-03-11 00:03:11,https://www.commcarehq.org/form/e616d727-5c4b-4fce-ad50-4efb344011e3,tester,True
324,2e138770-4738-471b-9829-028b87980690,community_06,Amina,Peter,female,1963-01-06,62435470498.0,08004175195,https://www.commcarehq.org/photos/farmer_324.jpg,7,mixed_farming,8,leased,3,borehole,---,maize groundnuts,1.0,1.0,---,---,---,---,10.4034941 7.5779587 0.0 20.0,no,6917340e-6f57-488e-83b5-3c9f09710a1d,2026-04-08 00:08:00,2026-04-08,tester,2026-04-08 00:08:18,https://www.commcarehq.org/form/2e138770-4738-471b-9829-028b87980690,tester,True
325,3dd132ba-3f3b-4427-9307-48d89519bd04,community_03,Deborah,James,male,1963-12-07,,08062768809,https://www.commcarehq.org/photos/farmer_325.jpg,8,crop_farming,16,owned,4,rain-fed,---,groundnuts rice,2.0,---,1.2,---,---,---,10.447022 7.5293003 0.0 20.0,yes,9c579afe-4975-4fd4-b19c-b3312197e20f,2026-02-14 00:06:00,2026-02-14,tester,2026-02-14 00:06:09,https://www.commcarehq.org/form/3dd132ba-3f3b-4427-9307-48d89519bd04,tester,True
326,74ef7689-037e-4e29-acc0-880ddd16e27e,community_05,Paul,Adeyemi,male,1975-04-22,49531209279.0,08043860004,https://www.commcarehq.org/photos/farmer_326.jpg,8,crop_farming,25,family_land,3,rain-fed,---,maize,---,5.9,---,goats rabbits,4,32,10.3857733 7.3660307 0.0 20.0,yes,0159b375-0e22-48b1-9362-487d22832b32,2026-04-23 00:03:00,2026-04-23,tester,2026-04-23 00:03:05,https://www.commcarehq.org/form/74ef7689-037e-4e29-acc0-880ddd16e27e,tester,True
327,e35d2d09-a3de-4d58-afac-c4deb04cc623,community_02,Ruth,Michael,female,1997-10-05,25961452647.0,08047812192,https://www.commcarehq.org/photos/farmer_327.jpg,3,crop_farming,10,owned,1,borehole,---,maize rice,---,4.5,2.3,---,---,---,10.5039574 7.2526828 0.0 20.0,yes,06ec69f9-b7a0-4f78-9e10-74a6927163fd,2026-06-19 00:03:00,2026-06-19,tester,2026-06-19 00:03:06,https://www.commcarehq.org/form/e35d2d09-a3de-4d58-afac-c4deb04cc623,tester,True
328,be76953e-8148-4c86-8b81-474228341bf6,community_05,Paul,David,female,1974-07-07,43478291751.0,08013543685,https://www.commcarehq.org/photos/farmer_328.jpg,6,crop_farming,29,owned,2,rain-fed,---,maize groundnuts,1.1,5.3,---,---,---,---,10.4652992 7.4672051 0.0 20.0,yes,42f69369-83c3-46e1-9a57-3414717ed350,2026-05-13 00:04:00,2026-05-13,tester,2026-05-13 00:04:07,https://www.commcarehq.org/form/be76953e-8148-4c86-8b81-474228341bf6,tester,True
329,f0143276-8d5e-4cbe-9b41-b3c65dd51e93,community_06,David,Ojo,male,1985-03-17,,08081713459,https://www.commcarehq.org/photos/farmer_329.jpg,7,livestock_farming,17,owned,3,rain-fed,---,rice maize groundnuts,1.9,3.7,0.7,---,---,---,10.4774779 7.5988699 0.0 20.0,yes,01ba2a7f-c7c4-46e6-b76f-364706245cc1,2026-02-10 00:02:00,2026-02-10,tester,2026-02-10 00:02:10,https://www.commcarehq.org/form/f0143276-8d5e-4cbe-9b41-b3c65dd51e93,tester,True
330,f5515209-6901-4355-a16d-9687ace61767,community_05,Deborah,Eze,male,1961-10-14,,08068299299,https://www.commcarehq.org/photos/farmer_330.jpg,6,livestock_farming,1,owned,3,rain-fed,---,rice groundnuts maize,2.4,1.3,2.2,goats,9,---,10.2637772 7.3676037 0.0 20.0,yes,17e57d33-e511-4df5-94ce-1370385d5e61,2026-03-05 00:08:00,2026-03-05,tester,2026-03-05 00:08:16,https://www.commcarehq.org/form/f5515209-6901-4355-a16d-9687ace61767,tester,True
331,1576995d-8bb1-47b0-ba7e-e1429d4b282b,community_01,James,Peter,female,1996-09-12,,08014670131,https://www.commcarehq.org/photos/farmer_331.jpg,8,crop_farming,2,owned,3,rain-fed,---,maize rice groundnuts,1.5,5.8,0.9,---,---,---,10.5504969 7.4765748 0.0 20.0,yes,896c7d4f-b873-48a6-94fe-234081886380,2026-03-16 00:03:00,2026-03-16,tester,2026-03-16 00:03:08,https://www.commcarehq.org/form/1576995d-8bb1-47b0-ba7e-e1429d4b282b,tester,True
332,cf8ba452-f400-447a-a41d-048ad63eda10,community_01,Suleiman,Eze,female,1972-08-08,67692050763.0,08001787963,https://www.commcarehq.org/photos/farmer_332.jpg,8,crop_farming,7,family_land,2,rain-fed,---,maize rice groundnuts,3.0,5.5,2.2,---,---,---,10.4426511 7.5481574 0.0 20.0,yes,df85dfbb-6a2c-4088-a89a-80adb2f57f3e,2026-01-11 00:06:00,2026-01-11,tester,2026-01-11 00:06:08,https://www.commcarehq.org/form/cf8ba452-f400-447a-a41d-048ad63eda10,tester,True
333,100925c9-bbb9-4796-9590-4186f29a6e77,community_04,Paul,Ojo,female,1985-03-11,95486125412.0,08043737855,https://www.commcarehq.org/photos/farmer_333.jpg,6,mixed_farming,22,leased,1,rain-fed,---,groundnuts maize,2.8,5.3,---,---,---,---,10.3014057 7.5273474 0.0 20.0,yes,4fc36248-4f02-403a-b3c4-134dd1f20d55,2026-03-05 00:04:00,2026-03-05,tester,2026-03-05 00:04:19,https://www.commcarehq.org/form/100925c9-bbb9-4796-9590-4186f29a6e77,tester,True
334,86e34a5b-424d-404b-bafc-a9260f5509fc,community_06,Ibrahim,Ali,female,1984-03-26,86723074873.0,08067771403,https://www.commcarehq.org/photos/farmer_334.jpg,7,crop_farming,10,owned,5,rain-fed,---,rice groundnuts,2.4,---,1.2,---,---,---,10.3348005 7.3751076 0.0 20.0,yes,a0758f91-2029-484e-b7ed-bb6436e9fac9,2026-02-10 00:03:00,2026-02-10,tester,2026-02-10 00:03:15,https://www.commcarehq.org/form/86e34a5b-424d-404b-bafc-a9260f5509fc,tester,True
